City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
208,Alice Town,BS,77.7,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
211,Takoradi,GH,80.15,scattered clouds,4.8845,-1.7554,Raybow International Hotel
219,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
221,Quatre Cocos,MU,73.51,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
223,Ondjiva,AO,78.22,broken clouds,-17.0667,15.7333,COMBUESA
228,Praia,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
233,Jones,PH,73.26,scattered clouds,16.5571,121.7029,Majin’s House
236,Arraial Do Cabo,BR,71.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
238,Chon Daen,TH,75.63,broken clouds,16.1895,100.8596,ซับขลุง
239,Veraval,IN,81.07,overcast clouds,20.9,70.3667,Lords Inn Somnath
245,Kouroussa,GN,75.38,clear sky,10.65,-9.8833,Hotel Paillote
247,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
249,Feijo,BR,81.3,moderate rain,-8.1642,-70.3536,Hotel e Restaurante Aҫai
250,Saint George,US,70.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
253,Alugan,PH,80.96,broken clouds,12.2188,125.4808,JM Lodge
259,Presidencia Roque Saenz Pena,AR,81.03,few clouds,-26.7852,-60.4388,Hotel Aconcagua
260,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
261,Sao Benedito Do Rio Preto,BR,79.61,broken clouds,-3.3336,-43.5283,João de Barro Hotel
263,Grand-Santi,GF,75.88,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
270,Waingapu,ID,80.1,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
275,Ca Mau,VN,76.26,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
277,Umm Kaddadah,SD,70.3,few clouds,13.6017,26.6876,
279,Vao,NC,73.85,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
281,Sibolga,ID,75.67,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
285,Emerald,AU,81.99,scattered clouds,-23.5333,148.1667,The Irish Village
288,Phan Thiet,VN,75.76,broken clouds,10.9333,108.1,Hotel Saigon-PT
291,Balikpapan,ID,76.19,few clouds,-1.2675,116.8289,ibis Balikpapan
293,Cap Malheureux,MU,73.89,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
295,Mount Darwin,ZW,72.68,broken clouds,-16.7725,31.5838,
296,Banikoara,BJ,79.45,clear sky,11.2985,2.4386,Hôtel de l'UCom CVPC
301,Beruwala,LK,78.91,broken clouds,6.4788,79.9828,The Palms Hotel
302,Kidal,ML,75.94,scattered clouds,18.4411,1.4078,
307,Sipe Sipe,BO,82.89,scattered clouds,-17.45,-66.3833,Cabañas Oasis Marino
308,Kununurra,AU,82.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
319,Port-Gentil,GA,80.04,overcast clouds,-0.7193,8.7815,Fengshui Residence
320,Marabba,SD,78.06,overcast clouds,12.35,32.1833,
322,Vanimo,PG,78.1,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
324,Rio Grande,BR,89.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
328,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
329,Dwarka,IN,79.68,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
332,Oshogbo,NG,73.87,few clouds,7.7667,4.5667,Regina Suites Osogbo
333,Tabou,CI,78.84,light rain,4.423,-7.3528,hotêl doufoulougou
334,Kefamenanu,ID,74.7,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
335,Nhulunbuy,AU,84.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
338,Tomigusuku,JP,76.77,scattered clouds,26.185,127.675,Hotel Gran View Okinawa
340,Esmeraldas,BR,71.71,broken clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
345,Walajapet,IN,73.98,scattered clouds,12.9333,79.3833,OYO 29887 Ars Residency
349,Santa Rosa,PH,79.11,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
350,Xai-Xai,MZ,71.56,overcast clouds,-25.0519,33.6442,Complexo da Familia
357,Codajas,BR,77.99,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
363,Osmena,PH,82.13,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
366,Maragogi,BR,79.2,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
370,Yerraguntla,IN,74.16,broken clouds,14.6372,78.5395,M Y R Lodge
372,Bandundu,CD,70.48,broken clouds,-3.3167,17.3667,Coja Color
373,Farafangana,MG,74.41,light rain,-22.8167,47.8333,Miarina
384,Eyl,SO,76.42,scattered clouds,7.9803,49.8164,Amiin Hotel
386,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
390,Isla Vista,US,83.98,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
