City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sukhumi,GE,2021-11-20 02:49:22,43.0033,41.0153,49.42,87,100,4.99
68,Nicoya,CR,2021-11-20 02:49:22,10.1483,-85.452,74.75,92,45,2.28
69,Suntar,RU,2021-11-20 02:49:22,62.1444,117.6319,-0.35,92,100,2.51
70,The Valley,AI,2021-11-20 02:49:22,18.217,-63.0578,81.1,73,11,16.93
71,Kenai,US,2021-11-20 02:49:23,60.5544,-151.2583,0.03,85,1,3.44
72,Raudeberg,NO,2021-11-20 02:49:23,61.9875,5.1352,44.87,90,100,11.01
73,Manokwari,ID,2021-11-20 02:49:23,-0.8667,134.0833,84.33,69,20,6.26
74,Rocha,UY,2021-11-20 02:49:23,-34.4833,-54.3333,57.56,74,0,3.02
75,Atar,MR,2021-11-20 02:49:24,20.5169,-13.0499,76.62,32,99,4.25
76,Davidson,US,2021-11-20 02:49:24,36.1501,-86.7833,41.43,64,1,0.0
77,Qaanaaq,GL,2021-11-20 02:49:24,77.484,-69.3632,-3.82,71,80,8.14
78,Pisco,PE,2021-11-20 02:49:24,-13.7,-76.2167,65.01,88,0,9.22
79,Itoman,JP,2021-11-20 02:49:25,26.1247,127.6694,77.77,72,40,12.66
80,Bambous Virieux,MU,2021-11-20 02:49:25,-20.3428,57.7575,78.22,78,75,12.66
81,Saint-Augustin,CA,2021-11-20 02:49:25,51.226,-58.6502,35.83,86,83,9.26
82,Upernavik,GL,2021-11-20 02:49:25,72.7868,-56.1549,6.82,64,47,8.32
83,Havoysund,NO,2021-11-20 02:49:26,70.9963,24.6622,36.48,95,100,28.45
84,Katsuura,JP,2021-11-20 02:49:26,35.1333,140.3,67.19,69,40,18.28
85,Stribro,CZ,2021-11-20 02:49:26,49.7529,13.0041,46.85,82,98,6.53
86,Yellowknife,CA,2021-11-20 02:49:26,62.456,-114.3525,-1.68,78,75,9.22
87,Hithadhoo,MV,2021-11-20 02:49:27,-0.6,73.0833,82.22,77,94,21.85
88,Broome,US,2021-11-20 02:49:27,42.2506,-75.833,34.38,76,75,3.0
89,Grand Gaube,MU,2021-11-20 02:49:27,-20.0064,57.6608,78.39,67,0,5.01
90,Chokurdakh,RU,2021-11-20 02:49:27,70.6333,147.9167,-16.19,100,100,3.36
91,Ismailia,EG,2021-11-20 02:49:28,30.6043,32.2723,58.87,82,96,9.04
92,Janakpur,NP,2021-11-20 02:49:28,26.7183,85.9065,71.85,61,30,4.12
93,Adre,TD,2021-11-20 02:49:28,13.4667,22.2,70.9,25,0,15.19
94,Marsa Matruh,EG,2021-11-20 02:50:28,31.3525,27.2453,61.0,94,75,17.27
95,Huarmey,PE,2021-11-20 02:50:29,-10.0681,-78.1522,64.62,88,100,7.23
96,Zhangjiakou,CN,2021-11-20 02:50:29,40.81,114.8794,36.97,52,100,3.38
97,Kolondieba,ML,2021-11-20 02:50:29,11.0882,-6.8926,73.85,32,59,3.56
98,Gamba,GA,2021-11-20 02:50:29,-2.65,10.0,72.64,90,100,2.39
99,Coquimbo,CL,2021-11-20 02:50:30,-29.9533,-71.3436,58.73,82,90,5.75
100,Ugoofaaru,MV,2021-11-20 02:50:30,5.6667,73.0,81.93,69,92,19.55
101,Souillac,MU,2021-11-20 02:50:30,-20.5167,57.5167,78.37,78,75,12.66
102,Polunochnoye,RU,2021-11-20 02:50:30,60.8697,60.4153,17.67,93,96,5.73
103,Hasaki,JP,2021-11-20 02:50:31,35.7333,140.8333,64.69,64,59,18.59
104,Bonthe,SL,2021-11-20 02:50:31,7.5264,-12.505,79.3,85,15,3.71
105,Kavieng,PG,2021-11-20 02:50:31,-2.5744,150.7967,83.91,69,90,5.99
106,Thompson,CA,2021-11-20 02:50:31,55.7435,-97.8558,21.36,86,90,6.91
107,Haines Junction,CA,2021-11-20 02:50:32,60.7522,-137.5108,-18.45,69,11,2.3
108,Fethiye,TR,2021-11-20 02:50:32,36.6217,29.1164,58.87,63,2,7.9
109,Ulaanbaatar,MN,2021-11-20 02:48:35,47.9077,106.8832,5.13,78,75,2.24
110,Hambantota,LK,2021-11-20 02:50:32,6.1241,81.1185,80.94,89,0,4.61
111,Iracoubo,GF,2021-11-20 02:50:33,5.4802,-53.2011,77.63,90,88,6.31
112,Opuwo,NA,2021-11-20 02:50:33,-18.0607,13.84,68.4,24,26,4.72
113,Sarangani,PH,2021-11-20 02:50:33,5.4033,125.4636,84.18,69,81,4.05
114,Chuy,UY,2021-11-20 02:50:33,-33.6971,-53.4616,59.54,77,0,8.63
115,Dukat,RU,2021-11-20 02:50:33,62.55,155.55,8.49,99,100,3.44
116,Kangasala,FI,2021-11-20 02:50:34,61.4638,24.076,34.34,92,75,13.78
117,Port Elizabeth,ZA,2021-11-20 02:50:34,-33.918,25.5701,53.89,87,0,4.61
118,Channel-Port Aux Basques,CA,2021-11-20 02:50:34,47.5702,-59.1367,43.47,73,100,14.41
119,Alihe,CN,2021-11-20 02:50:34,50.5667,123.7167,20.8,59,100,1.36
120,Iqaluit,CA,2021-11-20 02:50:35,63.7506,-68.5145,26.33,73,90,11.99
121,Gat,IL,2021-11-20 02:49:02,31.61,34.7642,62.4,65,68,10.16
122,Abeche,TD,2021-11-20 02:50:35,13.8292,20.8324,76.39,21,2,16.53
123,Ribeira Grande,PT,2021-11-20 02:50:35,38.5167,-28.7,66.07,75,99,21.27
124,Port Hardy,CA,2021-11-20 02:50:05,50.6996,-127.4199,44.6,87,75,6.91
125,Jalu,LY,2021-11-20 02:50:36,29.0331,21.5482,62.98,75,93,8.75
126,Quatre Cocos,MU,2021-11-20 02:50:36,-20.2078,57.7625,78.1,66,4,11.05
127,Kurilsk,RU,2021-11-20 02:50:36,45.2333,147.8833,37.98,75,99,32.1
128,Fukue,JP,2021-11-20 02:50:36,32.6881,128.8419,66.56,55,0,10.36
129,Talas,TR,2021-11-20 02:50:36,38.6908,35.5538,36.27,93,75,0.0
130,Ampanihy,MG,2021-11-20 02:50:37,-24.7,44.75,72.54,80,100,6.17
131,Alcains,PT,2021-11-20 02:50:37,39.9164,-7.4566,54.36,71,99,10.11
132,Saint-Philippe,RE,2021-11-20 02:50:37,-21.3585,55.7679,75.22,70,34,12.75
133,Porto Novo,BJ,2021-11-20 02:50:38,6.4965,2.6036,80.42,90,6,4.59
134,Conakry,GN,2021-11-20 02:50:38,9.538,-13.6773,82.47,89,20,2.3
135,Pevek,RU,2021-11-20 02:50:38,69.7008,170.3133,-6.48,87,77,3.65
136,Hermanus,ZA,2021-11-20 02:50:38,-34.4187,19.2345,57.79,86,36,12.93
137,Norman Wells,CA,2021-11-20 02:50:39,65.282,-126.8329,1.44,85,75,4.61
138,Kiunga,PG,2021-11-20 02:50:39,-6.1219,141.2906,91.31,56,100,1.81
139,Stephenville Crossing,CA,2021-11-20 02:50:39,48.5,-58.4318,41.13,87,90,12.66
140,Tiksi,RU,2021-11-20 02:50:39,71.6872,128.8694,-12.71,97,98,6.22
141,Cascais,PT,2021-11-20 02:50:39,38.6979,-9.4215,60.51,65,46,8.01
142,Gigmoto,PH,2021-11-20 02:50:40,13.7796,124.39,83.03,81,61,4.92
143,Mackay,AU,2021-11-20 02:51:40,-21.15,149.2,89.69,48,0,10.36
144,Hilo,US,2021-11-20 02:51:40,19.7297,-155.09,78.53,78,90,8.05
145,Brylivka,UA,2021-11-20 02:51:41,46.4248,33.1472,43.52,88,97,9.95
146,Saldanha,ZA,2021-11-20 02:51:41,-33.0117,17.9442,53.65,85,18,14.5
147,Fare,PF,2021-11-20 02:51:41,-16.7,-151.0167,80.01,79,14,18.77
148,Russell,US,2021-11-20 02:51:41,32.3502,-85.1999,49.23,75,1,0.0
149,Ola,RU,2021-11-20 02:51:42,59.5833,151.2833,23.14,77,80,9.71
150,Sohbatpur,PK,2021-11-20 02:51:42,28.5202,68.5434,68.76,18,0,2.53
151,Tual,ID,2021-11-20 02:51:42,-5.6667,132.75,84.83,72,81,7.85
152,Igrim,RU,2021-11-20 02:51:42,63.1906,64.4162,20.08,96,100,7.67
153,Nikitinskiy,RU,2021-11-20 02:51:43,54.5845,86.0115,9.79,88,100,17.34
154,Belyy Yar,RU,2021-11-20 02:51:43,53.6039,91.3903,8.85,50,0,15.66
155,Nagamangala,IN,2021-11-20 02:51:43,12.8156,76.7575,73.09,89,44,7.45
156,San Roque,ES,2021-11-20 02:51:43,36.2107,-5.3842,61.61,90,100,10.51
157,Piacabucu,BR,2021-11-20 02:51:03,-10.4056,-36.4344,77.5,80,10,10.38
158,Ostrovnoy,RU,2021-11-20 02:51:44,68.0531,39.5131,29.32,94,100,6.67
159,Tawau,MY,2021-11-20 02:51:44,4.2498,117.8871,87.93,79,59,1.99
160,Road Town,VG,2021-11-20 02:51:44,18.4167,-64.6167,79.0,67,12,15.61
161,Vagur,FO,2021-11-20 02:51:44,61.4732,-6.8119,46.27,81,100,14.25
162,New Norfolk,AU,2021-11-20 02:51:45,-42.7826,147.0587,61.66,59,84,1.99
163,Nan,TH,2021-11-20 02:51:45,18.8333,100.6667,71.62,94,40,0.0
164,Airai,TL,2021-11-20 02:51:45,-8.9266,125.4092,75.97,62,96,1.66
165,Sao Felix Do Xingu,BR,2021-11-20 02:51:45,-6.6447,-51.995,72.0,98,100,1.23
166,Bay Point,US,2021-11-20 02:51:46,38.0291,-121.9616,59.09,93,90,3.0
167,Victoria,HK,2021-11-20 02:50:04,22.2855,114.1577,79.97,76,39,1.99
168,Cairns,AU,2021-11-20 02:51:46,-16.9167,145.7667,91.06,49,3,14.97
169,Mahebourg,MU,2021-11-20 02:51:46,-20.4081,57.7,78.26,78,75,12.66
170,Karratha,AU,2021-11-20 02:51:46,-20.7377,116.8463,91.67,26,24,10.07
171,Novikovo,RU,2021-11-20 02:51:47,51.1537,37.8879,35.17,94,100,18.57
172,Gordeyevka,RU,2021-11-20 02:51:47,52.9569,31.9703,46.99,83,100,23.35
173,Boa Vista,BR,2021-11-20 02:51:47,2.8197,-60.6733,84.18,61,0,8.05
174,Nanortalik,GL,2021-11-20 02:51:47,60.1432,-45.2371,32.81,96,100,22.3
175,Nikolskoye,RU,2021-11-20 02:51:48,59.7035,30.7861,35.49,97,100,8.28
176,Kaliganj,BD,2021-11-20 02:51:48,23.4095,89.1402,76.15,54,13,1.63
177,Lagoa,PT,2021-11-20 02:51:48,39.05,-27.9833,64.62,76,75,23.33
