City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Polignano A Mare,IT,40.9959,17.2159,58.01,84,56,7.85,broken clouds
80,Hermanus,ZA,-34.4187,19.2345,68.9,86,100,17.2,overcast clouds
81,Barahona,DO,18.2085,-71.1008,85.82,62,20,13.8,few clouds
82,Ilulissat,GL,69.2167,-51.1,16.34,96,99,2.51,overcast clouds
83,Bighapur,IN,26.35,80.6833,60.85,41,0,6.69,clear sky
84,Poum,NC,-20.2333,164.0167,76.82,73,0,2.68,clear sky
85,Evensk,RU,61.95,159.2333,6.1,74,0,13.98,clear sky
86,Bambous Virieux,MU,-20.3428,57.7575,73.65,88,40,3.44,light rain
87,Liancheng,CN,24.0519,105.075,45.23,92,100,7.2,overcast clouds
88,Castro,BR,-24.7911,-50.0119,65.03,58,6,3.76,clear sky
89,Dalbandin,PK,28.8947,64.4101,53.83,22,0,5.55,clear sky
90,Jardim,BR,-21.4803,-56.1381,81.95,53,56,5.64,broken clouds
91,Batemans Bay,AU,-35.7167,150.1833,60.91,83,98,5.88,overcast clouds
92,Jamestown,US,42.097,-79.2353,38.95,95,90,5.99,overcast clouds
93,Sao Filipe,CV,14.8961,-24.4956,80.94,69,100,7.96,overcast clouds
94,Sioux Lookout,CA,50.1001,-91.917,16.18,67,90,24.16,light snow
95,Ahuimanu,US,21.4447,-157.8378,83.79,62,20,9.22,few clouds
96,Hilo,US,19.7297,-155.09,80.33,65,40,4.61,scattered clouds
97,Vaitape,PF,-16.5167,-151.75,79.75,67,11,8.39,few clouds
98,Atuona,PF,-9.8,-139.0333,78.66,73,86,11.48,overcast clouds
99,Pitea,SE,65.3172,21.4794,21.09,65,83,4.63,broken clouds
100,Nikolskoye,RU,59.7035,30.7861,30.09,69,20,10.36,few clouds
101,Coihueco,CL,-36.6167,-71.8333,84.94,25,0,9.22,clear sky
102,Mar Del Plata,AR,-38.0023,-57.5575,73.42,73,0,5.01,clear sky
103,Wattegama,LK,6.7989,81.4808,70.72,92,73,1.14,broken clouds
104,Gornopravdinsk,RU,60.05,69.9,22.15,93,100,10.54,light snow
105,Georgetown,MY,5.4112,100.3354,78.89,94,20,3.0,few clouds
106,Krabi,TH,8.0726,98.9105,84.97,100,20,2.3,few clouds
107,Mahon,ES,39.8885,4.2658,57.76,94,20,5.75,few clouds
108,Husavik,IS,66.0449,-17.3389,44.51,79,69,12.35,broken clouds
